"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","Connector_Wire:SolderWire-1sqmm_1x02_P7.8mm_D1.4mm_OD3.9mm","~"
"C1,C2","2","47u","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C3","1","470n","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"C4","1","220n","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"C5,C9","2","1u","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C6","1","2,2u","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C7","1","100p","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"C8","1","22n","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"D1,D2","2","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D3,D4","2","LED","","","","LED_THT:LED_D3.0mm","~"
"D5","1","LED","","","","Connector_Wire:SolderWire-1sqmm_1x02_P7.8mm_D1.4mm_OD3.9mm","~"
"FID1,FID2,FID3","3","Fiducial","","Wyklucz z BOM","","Fiducial:Fiducial_1.5mm_Mask3mm","~"
"FS1","1","3PDT P1","","","","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD3.9mm","~"
"FS2,3,6","1","3PDT P2,3,6","","","","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD3.9mm","~"
"FS4,9","1","3PDT P4,9","","","","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD3.9mm","~"
"FS5","1","3PDT P5","","","","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD3.9mm","~"
"FS7","1","3PDT P7","","","","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD3.9mm","~"
"FS8","1","3PDT P8","","","","Connector_Wire:SolderWire-1sqmm_1x01_D1.4mm_OD3.9mm","~"
"H1,H2,H3,H4","4","MountingHole_Pad","","Wyklucz z BOM","","MountingHole:MountingHole_2.7mm_M2.5_DIN965_Pad","~"
"J3","1","Barrel_Jack_Switch","","","","Connector_Wire:SolderWire-1sqmm_1x03_P7.8mm_D1.4mm_OD3.9mm","~"
"Jack1,Jack2","2","Audio Jack","","","","Connector_Wire:SolderWire-1sqmm_1x02_P7.8mm_D1.4mm_OD3.9mm","~"
"R1,R2,R6","3","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","1","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4","1","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R5","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1","1","1M","","","","Connector_Wire:SolderWire-1sqmm_1x03_P7.8mm_D1.4mm_OD3.9mm","~"
"RV2,RV3","2","10k","","","","Connector_Wire:SolderWire-1sqmm_1x03_P7.8mm_D1.4mm_OD3.9mm","~"
"SW1","1","SW_Nidec_CAS-120A1","","","","Connector_Wire:SolderWire-1sqmm_1x03_P7.8mm_D1.4mm_OD3.9mm","https://www.nidec-components.com/e/catalog/switch/cas.pdf"
"SW2,SW4","2","SW_SPDT_MSM","","","","Connector_Wire:SolderWire-1sqmm_1x03_P7.8mm_D1.4mm_OD3.9mm","~"
"SW3","1","SW_SPST","","","","Connector_Wire:SolderWire-1sqmm_1x02_P7.8mm_D1.4mm_OD3.9mm","~"
"U1","1","LM358","","","","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
